ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
2018-01-02,28602316,2717808150,95.4,95.7,94.3,95.0,-0.2,13347
2018-01-03,58507086,5524486037,95.0,95.3,94.0,94.0,-1.0,24224
2018-01-04,53756400,4991911000,93.6,93.9,92.5,92.6,-1.4,27277
2018-01-05,59252732,5464513791,92.3,93.0,91.6,93.0,0.4,24457
2018-01-08,50081699,4603246988,92.3,92.6,91.7,91.8,-1.2,27073
2018-01-09,37896431,3486758152,92.5,92.6,91.8,91.8,0.0,15686
2018-01-10,56026125,5095360964,91.2,91.5,90.6,90.8,-1.0,27107
2018-01-11,66709480,6098320187,91.2,92.5,90.9,91.4,0.6,27221
2018-01-12,48985693,4502608788,91.6,92.4,91.5,91.8,0.4,20294
2018-01-15,42031735,3907221469,92.7,93.3,92.4,93.3,1.5,17154
2018-01-16,40639740,3794403900,93.6,93.7,93.0,93.4,0.1,16850
2018-01-17,37263455,3468798922,92.8,93.5,92.6,93.4,0.0,17251
2018-01-18,56382825,5319182705,94.1,94.8,93.8,93.8,0.4,24836
2018-01-19,101433926,9732794022,94.0,96.9,94.0,96.9,3.1,48573
2018-01-22,61170194,5923959151,97.2,97.4,96.1,96.6,-0.3,27450
2018-01-23,50229901,4827590551,96.0,96.9,95.5,96.9,0.3,21943
2018-01-24,42324664,4066850522,96.8,96.8,95.8,95.9,-1.0,18752
2018-01-25,56900448,5450068563,95.2,96.5,95.2,95.4,-0.5,20393
2018-01-26,45822009,4377351726,95.2,96.1,95.0,95.4,0.0,17664
2018-01-29,46205080,4384712966,95.4,95.7,94.5,94.7,-0.7,17826
2018-01-30,38358773,3607754561,94.2,94.9,93.6,93.6,-1.1,16613
2018-01-31,56868154,5261949172,92.1,93.0,92.1,92.2,-1.4,25346
