日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/01/02,"20,758,722","1,886,677,519",91.00,91.50,90.30,90.80, 0.00,"9,994"
109/01/03,"37,936,877","3,471,335,594",91.40,92.20,90.80,91.60,+0.80,"16,491"
109/01/06,"26,352,522","2,388,785,688",91.10,91.10,90.10,90.50,-1.10,"11,872"
109/01/07,"43,978,140","3,935,667,984",90.50,91.00,88.30,89.10,-1.40,"21,340"
109/01/08,"56,101,121","4,891,344,755",87.90,88.10,86.50,86.50,-2.60,"28,087"
109/01/09,"28,513,381","2,491,571,248",87.30,87.70,87.00,87.10,+0.60,"13,485"
109/01/10,"32,264,863","2,852,056,044",88.00,89.00,87.50,89.00,+1.90,"14,951"
109/01/13,"23,369,554","2,084,580,613",89.70,89.70,88.60,89.60,+0.60,"9,793"
109/01/14,"19,568,838","1,758,920,258",90.00,90.10,89.60,90.00,+0.40,"9,250"
109/01/15,"23,798,041","2,141,165,898",90.00,90.30,89.50,89.90,-0.10,"9,104"
109/01/16,"19,281,565","1,734,134,777",89.80,90.20,89.40,90.00,+0.10,"6,958"
109/01/17,"78,180,511","7,195,625,358",91.00,92.40,91.00,92.30,+2.30,"33,753"
109/01/20,"35,277,412","3,266,663,404",92.70,93.40,92.10,92.30, 0.00,"14,735"
109/01/30,"153,655,274","12,913,538,375",85.50,86.20,83.10,83.10,-9.20,"63,060"
109/01/31,"69,686,948","5,823,335,061",83.00,84.90,82.60,83.20,+0.10,"28,528"
109/02/03,"66,666,856","5,331,667,770",79.50,82.30,77.30,82.20,-1.00,"27,283"
109/02/04,"49,697,853","4,125,328,043",82.80,83.90,81.50,82.20, 0.00,"18,430"
109/02/05,"49,302,064","4,053,426,295",82.20,82.70,81.60,82.20, 0.00,"17,553"
109/02/06,"44,278,109","3,674,127,347",82.50,83.60,82.30,83.60,+1.40,"16,635"
109/02/07,"26,495,116","2,198,259,716",83.60,83.60,82.70,82.90,-0.70,"12,149"
109/02/10,"42,505,477","3,452,575,714",79.00,82.70,78.90,82.00,-0.90,"18,921"
109/02/11,"28,310,130","2,343,130,610",82.60,83.40,82.10,82.90,+0.90,"11,338"
109/02/12,"57,339,491","4,848,610,083",83.00,85.60,83.00,85.50,+2.60,"22,018"
109/02/13,"36,204,520","3,092,757,614",85.80,86.30,84.70,84.70,-0.80,"15,769"
109/02/14,"21,292,704","1,806,237,388",84.70,85.30,84.30,84.90,+0.20,"9,353"
109/02/17,"16,771,107","1,408,020,326",84.20,84.20,83.80,83.90,-1.00,"10,096"
109/02/18,"22,611,466","1,887,907,282",84.00,84.30,83.00,83.40,-0.50,"10,033"
109/02/19,"25,476,407","2,132,686,918",83.00,84.60,82.50,83.80,+0.40,"12,306"
109/02/20,"35,972,272","2,991,260,607",84.00,84.10,82.50,82.80,-1.00,"13,928"
109/02/21,"29,778,377","2,438,828,133",82.10,82.20,81.60,81.70,-1.10,"14,457"
109/02/24,"32,852,370","2,650,828,496",80.60,81.40,80.20,80.70,-1.00,"15,908"
109/02/25,"47,213,818","3,849,837,516",80.20,82.70,79.90,82.30,+1.60,"19,636"
109/02/26,"43,075,406","3,504,698,711",81.20,82.20,80.70,81.10,-1.20,"18,692"
109/02/27,"53,384,898","4,297,286,977",80.80,81.50,80.00,80.30,-0.80,"21,538"
109/03/02,"54,992,166","4,355,555,537",78.20,80.30,78.10,79.20,-1.10,"23,725"
109/03/03,"34,822,180","2,828,098,980",81.10,82.00,80.60,81.00,+1.80,"16,398"
109/03/04,"29,907,913","2,438,150,154",81.50,81.90,81.10,81.70,+0.70,"11,887"
109/03/05,"36,950,021","3,067,987,721",83.30,83.60,82.60,82.70,+1.00,"16,471"
109/03/06,"38,712,605","3,137,596,043",81.60,81.70,80.70,80.80,-1.90,"17,173"
109/03/09,"45,009,955","3,574,569,517",79.20,80.10,79.10,79.10,-1.70,"23,367"
109/03/10,"39,205,665","3,099,346,390",78.50,79.80,78.50,79.40,+0.30,"17,013"
109/03/11,"30,546,137","2,418,343,099",79.30,80.10,78.60,78.60,-0.80,"14,050"
109/03/12,"85,760,356","6,495,111,843",77.40,77.50,74.50,74.70,-3.90,"42,675"
109/03/13,"108,780,196","7,771,885,443",70.00,75.00,69.90,74.60,-0.10,"46,824"
109/03/16,"65,223,917","4,720,458,460",73.90,74.30,71.10,71.10,-3.50,"32,325"
109/03/17,"72,635,874","5,158,152,404",70.10,72.80,70.00,70.60,-0.50,"30,114"
109/03/18,"76,268,240","5,378,721,353",70.70,71.30,70.00,70.00,-0.60,"30,314"
109/03/19,"107,256,149","7,251,995,017",68.70,69.30,65.70,66.30,-3.70,"47,548"
109/03/20,"104,299,524","7,291,745,045",68.00,71.40,68.00,70.80,+4.50,"40,245"
109/03/23,"66,805,202","4,526,103,196",67.50,68.40,67.00,67.50,-3.30,"27,995"
109/03/24,"41,628,933","2,912,829,700",70.60,70.70,69.10,69.40,+1.90,"19,834"
109/03/25,"53,652,986","3,851,366,575",71.20,72.60,71.10,71.40,+2.00,"26,059"
109/03/26,"38,695,860","2,744,977,279",71.50,71.70,70.50,71.00,-0.40,"15,719"
109/03/27,"59,785,740","4,243,023,340",71.40,72.20,70.00,70.10,-0.90,"23,636"
109/03/30,"33,595,577","2,344,257,604",69.50,70.30,69.00,70.00,-0.10,"13,149"
109/03/31,"38,298,560","2,683,048,464",70.10,70.50,69.90,69.90,-0.10,"14,066"
109/04/01,"25,810,865","1,810,237,557",70.50,70.50,70.00,70.00,+0.10,"10,193"
109/04/06,"48,957,455","3,422,092,605",70.00,70.30,69.40,70.20,+0.20,"16,309"
109/04/07,"46,626,787","3,321,176,546",71.40,71.90,70.80,71.20,+1.00,"19,700"
109/04/08,"90,172,291","6,665,687,725",71.50,75.30,71.40,75.00,+3.80,"45,059"
109/04/09,"55,267,837","4,121,063,355",75.50,75.90,73.70,74.00,-1.00,"27,239"
109/04/10,"19,079,314","1,406,163,797",73.50,73.90,73.40,73.90,-0.10,"9,662"
109/04/13,"25,076,651","1,840,201,557",73.80,73.90,73.10,73.10,-0.80,"12,994"
109/04/14,"36,772,932","2,724,034,232",73.50,74.50,73.20,74.40,+1.30,"13,991"
109/04/15,"42,208,905","3,140,527,398",74.50,75.20,74.10,74.10,-0.30,"19,762"
109/04/16,"46,873,293","3,488,949,075",74.00,75.00,73.80,74.00,-0.10,"16,737"
109/04/17,"71,076,153","5,396,376,021",75.50,76.50,75.30,75.80,+1.80,"29,356"
109/04/20,"34,062,921","2,589,741,185",76.10,76.60,75.40,76.20,+0.40,"13,541"
109/04/21,"50,476,839","3,748,124,545",75.20,75.50,73.50,73.50,-2.70,"26,194"
109/04/22,"27,664,535","2,028,813,790",72.60,73.90,72.50,73.90,+0.40,"11,631"
109/04/23,"26,918,129","1,999,116,982",74.20,75.20,73.60,74.00,+0.10,"10,752"
109/04/24,"18,097,847","1,338,133,578",74.00,74.20,73.70,73.80,-0.20,"8,073"
109/04/27,"28,422,746","2,127,044,766",74.20,75.20,74.20,74.90,+1.10,"12,354"
109/04/28,"22,472,772","1,686,693,617",75.10,75.40,74.80,75.20,+0.30,"9,829"
109/04/29,"32,618,555","2,472,509,066",75.20,76.20,75.10,75.60,+0.40,"15,525"
109/04/30,"50,247,112","3,846,340,874",76.20,77.00,76.00,77.00,+1.40,"21,023"
109/05/04,"50,274,654","3,743,144,292",74.00,75.00,73.90,74.50,-2.50,"24,021"
109/05/05,"30,499,283","2,267,358,676",74.70,75.00,74.00,74.10,-0.40,"14,431"
109/05/06,"26,782,236","1,994,740,599",74.10,75.20,74.10,74.30,+0.20,"12,458"
109/05/07,"31,856,315","2,394,950,417",74.50,75.80,74.50,75.20,+0.90,"13,922"
109/05/08,"38,394,983","2,932,358,445",76.80,76.80,75.90,76.20,+1.00,"17,416"
109/05/11,"59,444,957","4,658,299,492",76.90,79.20,76.90,78.90,+2.70,"28,011"
109/05/12,"45,434,634","3,527,174,435",78.30,78.40,77.00,77.30,-1.60,"21,458"
109/05/13,"43,132,241","3,378,556,440",77.70,78.80,77.70,78.80,+1.50,"21,005"
109/05/14,"42,128,911","3,298,686,731",78.00,78.90,78.00,78.20,-0.60,"19,774"
109/05/15,"47,550,082","3,678,862,332",78.20,78.60,76.40,77.10,-1.10,"22,470"
109/05/18,"57,978,171","4,380,323,435",76.60,76.60,74.90,75.00,-2.10,"26,917"
